Month,Year,Average Temperature,Historical Average,Max Temperature,Min Temperature,Historical Max,Historical Min
May,2006,26.40,25.36,32.17,20.92,31.07,19.80
June,2006,25.58,24.35,31.37,19.43,30.37,18.57
July,2006,24.65,23.57,30.11,19.06,29.32,17.88
August,2006,24.98,23.84,30.68,19.38,29.50,18.12
September,2006,25.67,24.82,31.24,20.02,30.77,18.93
October,2006,26.12,25.42,31.41,20.90,31.12,19.75
November,2006,25.39,24.98,30.71,20.51,30.63,19.29
December,2006,25.50,25.01,30.40,20.63,31.00,19.13
January,2007,26.33,25.74,31.19,21.16,31.68,19.90
February,2007,28.09,26.55,33.20,22.27,32.40,20.83
March,2007,27.86,26.82,33.51,22.05,32.89,20.93
April,2007,27.28,26.07,33.19,22.00,31.79,20.51
May,2007,26.83,25.36,32.20,21.02,31.07,19.80
June,2007,25.44,24.35,30.99,19.66,30.37,18.57
July,2007,24.72,23.57,30.51,19.06,29.32,17.88
August,2007,24.94,23.84,30.50,19.90,29.50,18.12
September,2007,25.86,24.82,31.53,20.36,30.77,18.93
October,2007,26.12,25.42,31.63,20.84,31.12,19.75
November,2007,25.54,24.98,30.96,20.05,30.63,19.29
December,2007,25.86,25.01,31.65,19.79,31.00,19.13
January,2008,26.63,25.74,31.73,21.13,31.68,19.90
February,2008,27.27,26.55,32.46,21.54,32.40,20.83
March,2008,27.73,26.82,33.50,22.03,32.89,20.93
April,2008,26.40,26.07,31.89,20.94,31.79,20.51
May,2008,26.12,25.36,31.77,20.29,31.07,19.80
June,2008,24.85,24.35,30.45,18.96,30.37,18.57
July,2008,24.39,23.57,29.76,18.75,29.32,17.88
August,2008,24.53,23.84,29.99,19.25,29.50,18.12
September,2008,26.22,24.82,32.01,20.18,30.77,18.93
October,2008,26.54,25.42,31.82,20.97,31.12,19.75
November,2008,25.94,24.98,31.52,20.37,30.63,19.29
December,2008,26.56,25.01,32.61,20.29,31.00,19.13
January,2009,26.96,25.74,32.34,21.59,31.68,19.90
February,2009,27.72,26.55,32.76,22.38,32.40,20.83
March,2009,28.29,26.82,34.01,22.14,32.89,20.93
April,2009,27.84,26.07,33.76,21.76,31.79,20.51
May,2009,26.81,25.36,32.35,20.92,31.07,19.80
June,2009,25.99,24.35,32.11,19.71,30.37,18.57
July,2009,24.86,23.57,31.34,18.62,29.32,17.88
August,2009,25.13,23.84,31.11,19.42,29.50,18.12
September,2009,26.31,24.82,32.30,20.53,30.77,18.93
October,2009,26.48,25.42,31.71,21.00,31.12,19.75
November,2009,26.47,24.98,32.23,20.38,30.63,19.29
December,2009,26.55,25.01,31.87,21.25,31.00,19.13
January,2010,27.14,25.74,32.09,22.03,31.68,19.90
February,2010,28.21,26.55,32.97,23.74,32.40,20.83
March,2010,27.42,26.82,32.37,22.60,32.89,20.93
April,2010,26.92,26.07,32.35,21.79,31.79,20.51
May,2010,26.77,25.36,32.39,20.22,31.07,19.80
June,2010,25.94,24.35,31.77,20.16,30.37,18.57
July,2010,24.41,23.57,29.96,18.80,29.32,17.88
August,2010,24.70,23.84,30.12,19.33,29.50,18.12
September,2010,25.70,24.82,31.45,20.18,30.77,18.93
October,2010,26.79,25.42,32.42,21.04,31.12,19.75
November,2010,26.37,24.98,32.25,20.53,30.63,19.29
December,2010,26.45,25.01,32.76,20.24,31.00,19.13
January,2011,26.92,25.74,32.70,20.93,31.68,19.90
February,2011,27.59,26.55,33.41,21.58,32.40,20.83
March,2011,27.81,26.82,33.93,21.72,32.89,20.93
April,2011,27.83,26.07,34.30,21.95,31.79,20.51
May,2011,26.86,25.36,32.71,21.69,31.07,19.80
June,2011,26.06,24.35,31.99,20.33,30.37,18.57
July,2011,25.12,23.57,31.56,19.00,29.32,17.88
August,2011,24.83,23.84,30.74,19.78,29.50,18.12
September,2011,25.92,24.82,31.75,20.75,30.77,18.93
October,2011,25.87,25.42,31.32,21.29,31.12,19.75
November,2011,25.23,24.98,30.84,20.50,30.63,19.29
December,2011,25.32,25.01,31.15,19.63,31.00,19.13
January,2012,26.45,25.74,32.96,20.12,31.68,19.90
February,2012,27.31,26.55,33.36,21.40,32.40,20.83
March,2012,27.73,26.82,34.29,21.17,32.89,20.93
April,2012,27.07,26.07,33.03,21.41,31.79,20.51
May,2012,26.27,25.36,32.10,20.59,31.07,19.80
June,2012,25.24,24.35,31.29,19.49,30.37,18.57
July,2012,24.07,23.57,29.82,18.58,29.32,17.88
August,2012,24.75,23.84,31.10,18.96,29.50,18.12
September,2012,25.78,24.82,31.99,19.92,30.77,18.93
October,2012,26.40,25.42,31.93,20.84,31.12,19.75
November,2012,26.30,24.98,32.45,20.44,30.63,19.29
December,2012,26.23,25.01,31.58,20.63,31.00,19.13
January,2013,26.88,25.74,32.49,21.72,31.68,19.90
February,2013,27.71,26.55,33.16,22.01,32.40,20.83
March,2013,27.64,26.82,33.45,22.30,32.89,20.93
April,2013,26.36,26.07,31.56,21.30,31.79,20.51
May,2013,25.72,25.36,31.70,20.16,31.07,19.80
June,2013,24.54,24.35,30.19,19.02,30.37,18.57
July,2013,23.91,23.57,29.82,18.49,29.32,17.88
August,2013,24.09,23.84,29.87,18.91,29.50,18.12
September,2013,25.65,24.82,31.58,20.26,30.77,18.93
